Sample,Notes,Unit,Analysis_type,UTM (E),UTM (N),Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Original Total,Ba,Ce,Cr,Cu,Ga,La,Nb,Nd,Ni,Pb,Rb,Sc,Sr,Th,U,V,Y,Zn,Zr,,,
T_45,site 12,Amphitheatre - Lower block-and-bomb bed in Gulch 13,EDS,459812,4095069,37.00091312,-117.4516761,59.12,1.91,16.85,5.83,0.27,0.83,2.88,3.79,5.01,1.34,100.01,,,,,,,,,,,,,,,,,,,,,,
T_45,site 13,Amphitheatre - Lower block-and-bomb bed in Gulch 14,EDS,459812,4095069,37.00091312,-117.4516761,55.89,2.49,16.31,8.73,0.32,2.46,5.41,3.40,4.21,1.20,100.41,,,,,,,,,,,,,,,,,,,,,,
S_46,site 2,Amphitheatre 2nd ash poor bed in gulch 4,EDS,459812,4095069,37.00091312,-117.4516761,54.19,2.58,15.87,9.58,,2.76,5.87,3.48,3.77,1.04,101.12,,,,,,,,,,,,,,,,,,,,,,
S_46,site 3,Amphitheatre 2nd ash poor bed in gulch 5,EDS,459812,4095069,37.00091312,-117.4516761,55.47,2.43,16.54,9.23,,2.62,6.38,3.23,3.02,1.04,99.97,,,,,,,,,,,,,,,,,,,,,,
S_46,site 4,Amphitheatre 2nd ash poor bed in gulch 6,EDS,459812,4095069,37.00091312,-117.4516761,55.23,2.54,16.00,9.79,,2.92,6.15,2.87,3.38,1.12,99.98,,,,,,,,,,,,,,,,,,,,,,
S_46,site 5,Amphitheatre 2nd ash poor bed in gulch 7,EDS,459812,4095069,37.00091312,-117.4516761,55.18,2.57,15.84,9.39,0.33,2.54,5.94,3.16,3.42,1.15,101.97,,,,,,,,,,,,,,,,,,,,,,
T_46,site 6,Amphitheatre 2nd ash poor bed in gulch 8,EDS,459812,4095069,37.00091312,-117.4516761,59.79,2.01,17.68,6.24,0.32,1.11,3.85,4.14,4.17,1.51,101.52,,,,,,,,,,,,,,,,,,,,,,
T_46,site 7,Amphitheatre 2nd ash poor bed in gulch 9,EDS,459812,4095069,37.00091312,-117.4516761,59.85,1.13,19.13,3.32,,1.21,4.76,3.95,4.15,,101.19,,,,,,,,,,,,,,,,,,,,,,
T_46,site 8,Amphitheatre 2nd ash poor bed in gulch 10,EDS,459812,4095069,37.00091312,-117.4516761,58.77,2.60,16.45,7.48,0.31,1.46,3.48,3.63,4.53,1.21,101.72,,,,,,,,,,,,,,,,,,,,,,
T_46,site 9,Amphitheatre 2nd ash poor bed in gulch 11,EDS,459812,4095069,37.00091312,-117.4516761,58.89,1.42,20.28,3.87,0.32,1.15,5.71,4.99,3.20,1.12,101.88,,,,,,,,,,,,,,,,,,,,,,
T_46,site 10,Amphitheatre 2nd ash poor bed in gulch 12,EDS,459812,4095069,37.00091312,-117.4516761,59.47,1.04,22.26,3.30,,0.77,5.51,4.95,2.89,,100.98,,,,,,,,,,,,,,,,,,,,,,
S_47,site 5,Amphitheatre- Upper black and bomb bed gulch 4,EDS,459812,4095069,37.00091312,-117.4516761,53.91,2.51,15.90,9.85,,3.25,6.54,3.32,3.47,1.23,99.98,,,,,,,,,,,,,,,,,,,,,,
S_47,site 6,Amphitheatre- Upper black and bomb bed gulch 5,EDS,459812,4095069,37.00091312,-117.4516761,54.56,2.58,15.72,10.04,0.40,3.20,6.42,3.08,3.02,1.23,100.46,,,,,,,,,,,,,,,,,,,,,,
S_47,site 7,Amphitheatre- Upper black and bomb bed gulch 6,EDS,459812,4095069,37.00091312,-117.4516761,55.05,2.58,16.36,9.41,0.33,2.73,6.63,3.09,3.14,1.42,100.74,,,,,,,,,,,,,,,,,,,,,,
S_47,site 9,Amphitheatre- Upper black and bomb bed gulch 7,EDS,459812,4095069,37.00091312,-117.4516761,53.77,2.56,15.27,10.17,0.32,3.05,7.25,2.88,3.04,1.91,100.21,,,,,,,,,,,,,,,,,,,,,,
S_47,site 10,Amphitheatre- Upper black and bomb bed gulch 8,EDS,459812,4095069,37.00091312,-117.4516761,54.27,2.57,15.80,9.92,0.31,2.89,6.32,3.03,3.35,1.31,101.87,,,,,,,,,,,,,,,,,,,,,,
S_47,site 11,Amphitheatre- Upper black and bomb bed gulch 9,EDS,459812,4095069,37.00091312,-117.4516761,55.97,2.45,16.11,9.53,,2.79,6.02,3.11,3.23,1.32,100.52,,,,,,,,,,,,,,,,,,,,,,
S_47,site 12,Amphitheatre- Upper black and bomb bed gulch 10,EDS,459812,4095069,37.00091312,-117.4516761,54.73,2.60,15.61,10.03,0.37,2.83,6.06,3.00,3.23,1.08,101.70,,,,,,,,,,,,,,,,,,,,,,
T_47,site 13,Amphitheatre- Upper black and bomb bed gulch 11,EDS,459812,4095069,37.00091312,-117.4516761,55.45,2.75,15.26,10.03,0.38,2.47,5.45,3.14,3.62,1.17,102.02,,,,,,,,,,,,,,,,,,,,,,
T_47,site 14,Amphitheatre- Upper black and bomb bed gulch 12,EDS,459812,4095069,37.00091312,-117.4516761,58.07,2.70,15.84,6.95,0.40,2.81,4.71,3.38,3.71,1.19,102.90,,,,,,,,,,,,,,,,,,,,,,
T_47,site 16,Amphitheatre- Upper black and bomb bed gulch 13,EDS,459812,4095069,37.00091312,-117.4516761,60.40,1.38,18.39,4.89,,1.27,5.11,4.44,3.56,1.28,101.41,,,,,,,,,,,,,,,,,,,,,,
T_47,site 17,Amphitheatre- Upper black and bomb bed gulch 14,EDS,459812,4095069,37.00091312,-117.4516761,59.96,2.18,17.41,7.78,,1.25,3.53,3.48,4.09,1.29,100.97,,,,,,,,,,,,,,,,,,,,,,
T_47,site 18,Amphitheatre- Upper black and bomb bed gulch 15,EDS,459812,4095069,37.00091312,-117.4516761,53.97,2.60,15.63,10.14,0.33,3.06,5.90,3.43,3.44,1.07,101.70,,,,,,,,,,,,,,,,,,,,,,
T_47,site 19,Amphitheatre- Upper black and bomb bed gulch 16,EDS,459812,4095069,37.00091312,-117.4516761,57.82,2.29,17.30,7.45,,1.70,5.08,4.30,3.38,1.06,100.39,,,,,,,,,,,,,,,,,,,,,,
S_74,Site 7,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,54.03,2.52,16.11,9.87,0.31,2.93,6.53,2.93,3.01,1.11,104.66,,,,,,,,,,,,,,,,,,,,,,
S_74,Site 8,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,54.22,2.55,16.24,9.72,0.28,2.90,6.54,2.98,2.98,1.02,101.79,,,,,,,,,,,,,,,,,,,,,,
S_74,Site 9,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,54.44,2.51,16.21,9.64,0.31,2.89,6.38,3.14,3.18,1.09,102.26,,,,,,,,,,,,,,,,,,,,,,
S_74,Site 10,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,53.35,2.48,16.13,9.63,0.31,3.11,6.69,3.62,3.47,1.09,102.19,,,,,,,,,,,,,,,,,,,,,,
S_74,Site11,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,53.83,2.49,16.15,9.75,0.33,2.97,6.55,2.78,3.02,1.09,105.22,,,,,,,,,,,,,,,,,,,,,,
S_74,Site 12,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,53.94,2.46,16.32,9.82,0.30,3.08,6.65,3.26,3.13,1.10,100.06,,,,,,,,,,,,,,,,,,,,,,
S_74,Site 13,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,53.84,2.49,16.37,9.67,0.28,3.09,6.76,3.25,3.01,1.13,99.89,,,,,,,,,,,,,,,,,,,,,,
T_74,Site 16,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,55.33,2.32,16.51,9.15,,2.68,5.97,2.65,3.39,0.83,101.01,,,,,,,,,,,,,,,,,,,,,,
T_74,Site 17,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,54.62,2.48,16.26,9.52,0.33,2.60,4.34,3.42,4.57,1.60,102.10,,,,,,,,,,,,,,,,,,,,,,
T_74,Site 17,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,61.37,1.29,19.58,3.80,0.28,1.17,4.41,4.56,3.76,,100.81,,,,,,,,,,,,,,,,,,,,,,
T_74,Site 19,Amphitheatre - Opening blast ,EDS,459510,4094897,36.99934972,-117.455061,60.24,1.82,17.38,6.53,0.37,1.46,4.08,3.56,4.27,1.26,101.78,,,,,,,,,,,,,,,,,,,,,,
S_53,site 1,Northern Amphitheatre,EDS,459919,4095267,37.00270249,-117.4504841,53.66,2.10,17.91,8.60,0.31,3.19,7.61,3.19,2.60,1.27,100.44,,,,,,,,,,,,,,,,,,,,,,
S_53,site 2,Northern Amphitheatre,EDS,459919,4095267,37.00270249,-117.4504841,55.02,2.46,16.10,9.85,0.28,2.97,6.46,2.84,3.01,1.21,100.21,,,,,,,,,,,,,,,,,,,,,,
S_53,site 6,Northern Amphitheatre,EDS,459919,4095267,37.00270249,-117.4504841,54.06,2.51,16.10,10.09,0.28,3.14,6.34,2.95,3.12,1.14,102.27,,,,,,,,,,,,,,,,,,,,,,
T_53,site 11 ,Northern Amphitheatre,EDS,459919,4095267,37.00270249,-117.4504841,60.34,1.40,17.13,4.77,,1.11,4.30,3.83,4.52,2.31,103.14,,,,,,,,,,,,,,,,,,,,,,
